번호,제목,저자,출판사,출판일
1,Decision system for a team of autonomous underwater vehicles&#x02014;Preliminary report,"Praczyk, T.; Szymak, P.","Elsevier Science B.V., Amsterdam.",2011
2,How People Perceive and Expect Safety in Autonomous Vehicles: An Empirical Study for Risk Sensitivity and Risk-related Feelings,"Tan, Hao; Chen, Cong; Hao, Yuyue",Taylor & Francis,2021
3,Exploring the impact of connected and autonomous vehicles on mobility and environment at signalized intersections through vehicle-to-infrastructure (V2I) and infrastructure-to-vehicle (I2V) communications,"Liu, Pengfei; Fan, Wei David",Taylor & Francis,2021
4,Object Detection Under Rainy Conditions for Autonomous Vehicles: A Review of State-of-the-Art and Emerging Techniques,"Hnewa, Mazin; Radha, Hayder",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2020
5,"Corrigendum to ""Fuel economy testing of autonomous vehicles"" [Transp. Res. Part C: Emerging Technol. 65 (2016) 31–48]","Mersky, Avi Chaim; Samaras, Constantine","Elsevier Science B.V., Amsterdam.",2018
6,The obstacle avoidance motion planning problem for autonomous vehicles: A low-demanding receding horizon control scheme,"Franze, G.; Lucia, W.","Elsevier Science B.V., Amsterdam.",2015
7,Investigating the state of connected and autonomous vehicles: a literature Review,"Shiwakoti, Nirajan; Stasinopoulos, Peter; Fedele, Francesco","Elsevier Science B.V., Amsterdam",2020
8,Will consumers prefer shared and pooled-use autonomous vehicles? A stated choice experiment with Swiss households,"Stoiber, Thomas; Schubert, Iljana; Hoerler, Raphael; Burger, Paul","Elsevier Science B.V., Amsterdam",2019
9,"Analysis of consumer attitudes towards autonomous, connected, and electric vehicles: A survey in China","Wu, Jingwen; Liao, Hua; Wang, Jin-Wei",ELSEVIER SCIENCE B.V. AMSTERDAM,2020
10,Steering Angle Prediction Techniques for Autonomous Ground Vehicles: A Review,"Saleem, Hajira; Riaz, Faisal; Mostarda, Leonardo; Niazi, Muaz A.; Rafiq, Ammar; Saeed, Saqib",IEEE,2021
11,Required navigation performance for connected and autonomous vehicles: where are we now and where are we going?,"Meng, Xiaolin; Roberts, Simon; Cui, Yijian; Gao, Yang; Chen, Qusen; Xu, Chang; He, Qiyi; Sharples, Sarah; Bhatia, Paul",Taylor & Francis,2018
12,Who is to blame for crashes involving autonomous vehicles? Exploring blame attribution across the road transport system,"Pöllänen, Elin; Read, Gemma J. M.; Lane, Ben R.; Thompson, Jason; Salmon, Paul M.",Taylor & Francis,2020
13,The Rise of Radar for Autonomous Vehicles: Signal processing solutions and future research directions,"Bilik, Igal; Longman, Oren; Villeval, Shahar; Tabrikian, Joseph",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2019
14,A quantized approach for occupancy grids for autonomous vehicles: Q-Trees,"Sencan, Onur; Temeltas, Hakan",Taylor and Francis,2018
15,"Millimeter-Wave Wireless Communications for IoT-Cloud Supported Autonomous Vehicles: Overview, Design, and Challenges","Kong, L.; Khan, M. K.; Wu, F.; Chen, G.; Zeng, P.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
16,Dissipation of stop-and-go waves via control of autonomous vehicles: Field experiments,"Stern, Raphael E.; Cui, Shumo; Delle Monache, Maria Laura; Bhadani, Rahul; Bunting, Matt; Churchill, Miles; Hamilton, Nathaniel; Haulcy, R’mani; Pohlmann, Hannah; Wu, Fangyu; Piccoli, Benedetto; Seibold, Benjamin; Sprinkle, Jonathan; Work, Daniel B.","Elsevier Science B.V., Amsterdam.",2018
17,Corrigendum to “Fuel economy testing of autonomous vehicles” [Transp. Res. Part C: Emerging Technol. 65 (2016) 31–48],"Mersky, Avi Chaim; Samaras, Constantine","Elsevier Science B.V., Amsterdam.",2018
18,Behaviour Based Decision Control in Autonomous Vehicles: A Fuzzy Approach Using Khepera,"Abreu, A.;Correia, L.",IEEE,2000
19,L~1 Adaptive Control for Indoor Autonomous Vehicles: Design Process and Flight Testing,"Michini, B.; How, J.","Reston, Va.; American Institute of Aeronautics and Astronautics",2009
20,"Advances in Single-Photon Lidar for Autonomous Vehicles: Working Principles, Challenges, and Recent Advances","Rapp, Joshua; Tachella, Julian; Altmann, Yoann; McLaughlin, Stephen; Goyal, Vivek K",INSTITUTE OF ELECTRICAL AND ELECTRONIC ENGINEERS,2020
21,A User-Centered Design Exploration of Fully Autonomous Vehicles' Passenger Compartments for At-Risk Populations,"Brooks,  Johnell O.; Mims,  Lauren; Lucaciu,  Damian; Jenkins,  Casey; Denman,  Pete",Society of Automotive Engineers,2018
22,Dynamic Lane Reversal Routing and Scheduling for Connected and Autonomous Vehicles: Formulation and Distributed Algorithm,"Chu, Kai-Fung; Lam, Albert Y. S.; Li, Victor O. K.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
23,Factors of successful implementation and diffusion of services based on autonomous vehicles: users' acceptance and operators' profitability,"Berrada, Jaâfar; Mouhoubi, Ilyes; Christoforou, Zoi",ELSEVIER SCIENCE B.V. AMSTERDAM,2020
24,Dynamic Lane Reversal Routing and Scheduling for Connected and Autonomous Vehicles: Formulation and Distributed Algorithm,"Chu, Kai-Fung; Lam, Albert Y. S.; Li, Victor O. K.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
25,Parameterized Energy-Optimal Regenerative Braking Strategy for Connected and Autonomous Electrified Vehicles: A Real-Time Dynamic Programming Approach,"Kim, Dohee; Eo, Jeong Soo; Kim, Kwang-Ki K.",IEEE,2021
26,Effects of actuator and sensor bandwidths in intelligent cruise control of autonomous vehicles. Part II: performance,"Wang, Y.; Liao, Y.; Wang, Z.",Taylor & Francis,2009
27,"New low-cost sensor concept for field protection: machine vision, autonomous vehicles/robots [2247-08]","Kleuver, W.",SPIE INTERNATIONAL SOCIETY FOR OPTICAL,1994
28,Exploring expert perceptions about the cyber security and privacy of Connected and Autonomous Vehicles: A thematic analysis approach,"Liu, Na; Nikitas, Alexandros; Parkinson, Simon","Elsevier Science B.V., Amsterdam.",2020
29,Perceived safety and attributed value as predictors of the intention to use autonomous vehicles: A national study with Spanish drivers,"Montoro, Luis; Useche, Sergio A.; Alonso, Francisco; Lijarcio, Ignacio; Bosó-Seguí, Patricia; Martí-Belda, Ana","Elsevier Science B.V., Amsterdam.",2019
30,Identifying and prioritizing the benefits and concerns of connected and autonomous vehicles: A comparison of individual and expert perceptions,"Kim, Moon-Koo; Park, Jong-Hyun; Oh, Jeesun; Lee, Won-Seop; Chung, Dongjae",Elsevier Science B.V.Amsterdam,2019
31,Does initial experience affect consumers' intention to use autonomous vehicles? Evidence from a field experiment in Beijing,"Dai, Jingchen; Li, Ruimin; Liu, Zhiyong","Elsevier Science B.V., Amsterdam.",2021
32,"Multi-Object Detection and Tracking, Based on DNN, for Autonomous Vehicles: A Review","Ravindran, Ratheesh; Santora, Michael J.; Jamali, Mohsin M.",IEEE,2021
33,Three-dimensional neural network tracking control of a moving target by underactuated autonomous underwater vehicles.,"Shojaei, Khoshnam.",SPRINGER INTERNATIONAL,2019
34,A Multiagent Deep Reinforcement Learning Approach for Path Planning in Autonomous Surface Vehicles: The Ypacara&#x00ED; Lake Patrolling Case,"Luis, Samuel Yanes; Reina, Daniel Gutierrez; Marin, Sergio L. Toral",IEEE,2021
35,Occupant kinematics and biomechanics during frontal collision in autonomous vehicles—can rotatable seat provides additional protection?,"Wu, Hequan; Hou, Haibin; Shen, Ming; Yang, King H.; Jin, Xin",Taylor & Francis,2020
36,"New low-cost sensor concept for field protection: machine vision, autonomous vehicles/robots [2247-08]","Kleuver, W.; Kunze, C.",SPIE,1994
37,"Introduction to the Special Section on Connected and Autonomous Vehicles: Technologies, Methodologies, and Applications","Liu, Jiajia; Tseng, Huei-Ru; Chan, Ching-Yao",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
38,The role of environmental concern in the public acceptance of autonomous electric vehicles: A survey from China,"Wu, Jingwen; Liao, Hua; Wang, Jin-Wei; Chen, Tianqi","Elsevier Science B.V., Amsterdam.",2019
39,Combination of Simulation and Model-Checking for the Analysis of Autonomous Vehicles' Behaviors: A Case Study,"Arcile, Johan; Sobieraj, Jérémy; Klaudel, Hanna; Hutzler, Guillaume",Springer,2017
40,A Cognitive Advanced Driver Assistance Systems Architecture for Autonomous-Capable Electrified Vehicles,unknown,IEEE,2019
41,Some promises in the pitfalls of automated and autonomous vehicles: A response to commentators,"Hancock, P. A.",Taylor & Francis,2019
42,"Capturing the behavioural determinants behind the adoption of autonomous vehicles: Conceptual frameworks and measurement models to predict public transport, sharing and ownership trends of self-driving cars","Acheampong, Ransford A.; Cugurullo, Federico","Elsevier Science B.V., Amsterdam.",2019
43,Analysis of safety benefits and security concerns from the use of autonomous vehicles: A grouped random parameters bivariate probit approach with heterogeneity in means,"Ahmed, Sheikh Shahriar; Pantangi, Sarvani Sonduru; Eker, Ugur; Fountas, Grigorios; Still, Stephen E.; Anastasopoulos, Panagiotis Ch.",Elsevier,2020
44,Effects of actuator and sensor bandwidths in intelligent cruise control of autonomous vehicles. Part I: stability,"Wang, Y.; Liao, Y.; Wang, Z.",Taylor & Francis,2009
45,On the Design and Development of Mission Control Systems for Autonomous Underwater Vehicles: An Application to the Marius AUV,"Oliveira, P.; Pascoal, A.; Silva, V.; Silvestre, C.",ASME Press,1996
46,Can a Simple Control Scheme Work for a Formation Control of Multiple Autonomous Underwater Vehicles?,"Hou, S.P.; Cheah, C.C.",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2011
47,Investigating pedestrian suggestions for external features on fully autonomous vehicles: A virtual reality experiment,"Deb, Shuchisnigdha; Strawderman, Lesley J.; Carruth, Daniel W.","Elsevier Science B.V., Amsterdam.",2018
48,Takagi&#x2013;Sugeno Fuzzy Unknown Input Observers to Estimate Nonlinear Dynamics of Autonomous Ground Vehicles: Theory and Real-Time Verification,"Nguyen, Anh-Tu; Dinh, Truong Quang; Guerra, Thierry-Marie; Pan, Juntao",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2021
49,Long-term U.S transportation electricity use considering the effect of autonomous-vehicles: Estimates & policy observations,"Fox-Penner, Peter; Gorman, Will; Hatch, Jennifer","Elsevier Science B.V., Amsterdam.",2018
50,"Crustal Magnetization of Brothers Volcano, New Zealand, Measured by Autonomous Underwater Vehicles: Geophysical Expression of a Submarine Hydrothermal System","Tontini, F.C.; Davy, B.; de Ronde, C.E.J.; Embley, R.W.; Leybourne, M.; Tivey, M.A.",ECONOMIC GEOLOGY PUBLISHING COMPANY,2012
51,Modelling and Control Strategies in Path Tracking Control for Autonomous Ground Vehicles: A Review of State of the Art and Challenges,"Amer, N. H.; Zamzuri, H.; Hudha, K.; Kadir, Z. A.",Springer Science + Business Media,2017
52,The Design of a Look-Down Feedback Adaptive Controller for the Lateral Control of Front-Wheel-Steering Autonomous Highway Vehicles.,"Choi, Seibum B.;;",unknown,2000
53,Study on a Fuzzy Q-Learning Approach Using the Driver Priori Knowledge for Intelligent Vehicles' Autonomous Navigation and Control,"Chang, Liang; Bai, Jie; Huang, Liangbo",Society of Automotive Engineers,2018
54,A Deep Reinforcement Learning Approach for the Patrolling Problem of Water Resources Through Autonomous Surface Vehicles: The Ypacarai Lake Case,"Luis, Samuel Yanes; Reina, Daniel Gutierrez; Marin, Sergio L. Toral",IEEE,2020
55,Replacing the Stop Sign: Unmanaged Intersection Control for Autonomous Vehicles,"Van Middlesworth, M.; Dresner, K.; Stone, P.","Ann Arbor, Mich.; International Foundation for Autonomous Agents and Multiagent Systems",2008
56,"Autonomous vehicles can be shared, but a feeling of ownership is important: Examination of the influential factors for intention to use autonomous vehicles","Lee, Jihye; Lee, Daeho; Park, Yuri; Lee, Sangwon; Ha, Taehyun","Elsevier Science B.V., Amsterdam",2019
57,Autonomous Underwater Vehicles - Why?,unknown,unknown,1994
58,Design and Development of Low Cost Variable Buoyancy System for the Soft Grounding of Autonomous Underwater Vehicles,"Riedel, J. S.;Healey, A. J.;Marco, D. B.;Beyazay, B.",Autonomous Undersea Systems Institute,1999
59,A Three-Dimensional Path Planning Algorithm for Autonomous Vehicles,"Fox, R.;Garcia, A.;Nelson, M. L.",Autonomous Undersea Systems Institute,1999
60,Mitigating Catastrophic Failure at Intersections of Autonomous Vehicles,"Dresner, K.; Stone, P.","Ann Arbor, Mich.; International Foundation for Autonomous Agents and Multiagent Systems",2008
61,Laser Scanner Based Free Navigation of Autonomous Vehicles,"Freund, E.;Dierks, F.",Pergamon Press,1992
62,Trajectory Control of Autonomous Vehicles in Viscous Media,"Miroshnik, I. V.; Odinets, N. M.",unknown,2004
63,A NEW OCCUPANCY GRID OF THE DYNAMIC ENVIRONMENT FOR AUTONOMOUS VEHICLES,"Xin, Y.; Liang, H.; Mei, T.; Huang, R.; Du, M.; Sun, C.; Wang, Z.; Jiang, R.",Piscataway; IEEE,2014
64,"Design and Utilization of Small, High Performance Autonomous Underwater Vehicles",unknown,unknown,1994
65,Possible Uses of Autonomous Underwater Vehicles in Offshore Seismic Exploration,unknown,unknown,1994
66,LAPS-II: 6-DOF DAY AND NIGHT VISUAL LOCALISATION WITH PRIOR 3D STRUCTURE FOR AUTONOMOUS ROAD VEHICLES,"Maddern, W.; Stewart, A.; Newman, P.",Piscataway; IEEE,2014
67,Robust Control of Autonomous Underwater Vehicles in Uncertain Operating Conditions,"Bozorg, M.; Eftekhari, S. A.; Jalili, H.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
68,SELF-AUTOMATED PARKING LOTS FOR AUTONOMOUS VEHICLES BASED ON VEHICULAR AD HOC NETWORKING,"Ferreira, M.; Damas, L.; Conceicao, H.; d Orey, P.; Fernandes, R.; Steenkiste, P.",Piscataway; IEEE,2014
69,Preface to the Papers from the 1st IFAC Workshop on Intelligent Autonomous Vehicles,"Charnley, D.",Pergamon Press,1992
70,Pose Estimation of Autonomous Vehicles Using Visual Information: A Minimum-Energy Estimator Approach,"Aguiar, A. P.; Hespanha, J. P.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
71,PASSIVITY ANALYSIS AND DESIGN OF PASSIVITY-BASED CONTROLLERS FOR TRAJECTORY TRACKING AT HIGH SPEED OF AUTONOMOUS VEHICLES,"Tagne, G.; Talj, R.; Charara, A.",Piscataway; IEEE,2014
72,Obstacle Avoidance and Self-Localization System for Autonomous Vehicles,"Khan, M. F. A.; Khiyal, S. H.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
73,LONGITUDINAL AND LATERAL CONTROL FOR AUTONOMOUS GROUND VEHICLES,"Filho, C.; Wolf, D.; Grassi, V.; Osorio, F.",Piscataway; IEEE,2014
74,Hierarchical Search Strategy for a Team of Autonomous Vehicles,"Silva, J.; Speranzon, A.; de Sousa, J. B.; Johansson, K. H.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
75,Do Autonomous Vehicles Dream of Virtual Sheep? The Displacement of Reality in the Hyperreal Visions of Autonomous Vehicles,"Wigley, Edward",Taylor & Francis,2021
76,Mission Planning for Autonomous Aerial Vehicles,"Chanthery, E.; Barbier, M.; Farges, J.-L.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
77,A Conceptual Framework for Design of Embedded Systems and Data Communication for Autonomous Vehicles,"Nielsen, J. D.; Bendtsen, J. D.; Nielsen, K. M.; Sorensen, M.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
78,The DARPA Grand Challenge - Autonomous Ground Vehicles in the Desert,"Behringer, R.","Oxford:; Published for the International Federation of Automatic Control by Elsevier,",2004
79,Modeling and simulation methodology for reconnaissance in VSW minefields with multiple autonomous vehicles [3711-22],"Healey, A. J.;Kim, J.",SPIE,1999
80,"Area reconnaissance, object relocation, and classification using cooperating autonomous underwater vehicles [3711-23]","Trimble, G. M.",SPIE,1999
81,A Generic Architecture for Autonomous Uninhabited Vehicles,"Barbier, M.; Gabard, J.-F.; Ayreault, H.","Neuilly-sur-Seine, France; Research and Technology Organisation (NATO)",2007
82,Articulated Unmanned Ground Vehicles (UGVs) Controlled with Complimentary Semi- &amp; Autonomous Mobility Behaviors,"Lane, G.R.; Reinholtz, C.; Krishnan, M.; Paulik, M.J.; Rayess, N.","Neuilly-sur-Seine, France; Research and Technology Organisation (NATO)",2007
83,Biological Inspiration for Agile Autonomous Air Vehicles,"Evers, J.H.","Neuilly-sur-Seine, France; Research and Technology Organisation (NATO)",2007
84,BIO-MIMICRY STUDIES OF AQUATIC SPECIES AND THE DEVELOPMENT OF SOLAR HYDROGEN ELECTRIC AUTONOMOUS UNDER WATER VEHICLES AND AUTONOMOUS AIRBORNE VEHICLES (sHe^-UAVs&amp;sHe^-AAVs),"Lange, C.J.; Sakeeb, K.; Anika, Z.; Rodas, E.; Grey, D.; Chen, K.; Walcott, H.E.",American Association of Zoo Veterinarians,2008
85,Autonomous Airborne Refueling of Unmanned Air Vehicles Using the Global Positioning System,"Khanafseh, S. M.; Pervan, B.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,2007
86,Autonomous vehicles go off-highway,unknown,SAE INTERNATIONAL,2009
87,Flow-field guided steering control for rigid autonomous ground vehicles in low-speed manoeuvring,"Song, Mengxuan; Wang, Nan; Gordon, Timothy; Wang, Jun",Taylor & Francis,2019
88,Autonomous Navigation for Unmanned Aerial Vehicles Based on Chaotic Bionics Theory,"Yu, X. l.; Sun, Y. r.; Liu, J. y.; Chen, B. w.","Elsevier Science B.V., Amsterdam",2009
89,Autonomous underwater vehicles,"Chyba, M.","Elsevier Science B.V., Amsterdam.",2009
90,Autonomous obstacle avoidance for fixed-wing unmanned aerial vehicles,A. H. J. de Ruiter; S. Owlia,Royal Aeronautical Society,2015
91,Autonomous Underwater Vehicles for Submarine Cable Inspection: Experimental Results,"Balasuriya, A.; Ura, T.",Institute of Electrical and Electronics Engineers,2001
92,Robust hierarchical controller with conditional integrator based on small gain theorem for reference trajectory tracking of autonomous vehicles,"Yu, Zhuoping; Zhang, Renxie; Xiong, Lu; Fu, Zhiqiang",Taylor & Francis,2019
93,Autonomous Vehicles and Public Health,"Rojas-Rueda, David; Nieuwenhuijsen, Mark J.; Khreis, Haneen; Frumkin, Howard",ANNUAL REVIEWS INC,2020
94,Autonomous ascent guidance with multiple terminal constraints for all-solid launch vehicles,"Zhang, Qian; Xu, Zhi","Elsevier Science B.V., Amsterdam.",2020
95,Autonomous Self-Driving Vehicles,unknown,"Elsevier Science B.V., Amsterdam",2019
96,Special issue on Motion Control for Automated Driving and Autonomous Functions on Road Vehicles,"Lidberg, Mathias; Müller, Steffen",Taylor & Francis,2019
97,Autonomous Waypoint Transitioning and Loitering for Unmanned Aerial Vehicles via Hybrid Control (AIAA 2016-2098),"Smith,  Dean W.; Sanfelice,  Ricardo",AIAA,2016
98,"Autonomous vehicles, risk perceptions and insurance demand: An individual survey in China","Xu, Xian; Fan, Chiang-Ku","Elsevier Science B.V., Amsterdam.",2019
99,Autonomous Control of Combat Unmanned Aerial Vehicles to Evade Surface-to-Air Missiles Using Deep Reinforcement Learning,"Lee, Gyeong Taek; Kim, Chang Ouk",IEEE,2020
100,"Autonomous Vehicles, Design Thinking, and Occupational Therapy","Schultz-Krohn, Winifred; Walter, Suzanne; Stroud, Mimi; Marrah, Samantha; Stonesifer, Courtney; Liao, Y. K.",AOTA,2019
1,Neuro-Fuzzy Based Autonomous Vehicles,"Sarkodie, T.;Willumeit, H.-P.",IEEE,1995
2,Conflict Alerting Functionality for Autonomous Vehicles,"Rock, D.;Zhao, Y.",AIAA,2002
3,Killing by Autonomous Vehicles and the Legal Doctrine of Necessity,"Santoni de Sio, F.",Springer Science + Business Media,2017
4,Generic Controller Design for Autonomous Vehicles,"Dana-Bashian, D.",AUVS,1994
5,Towards an autonomous underwater vehicles test range: At-sea experimentation of bearing-only tracking algorithms,"Costanzi, Riccardo; Fenucci, Davide; Manzari, Vincenzo; Caiti, Andrea; Petroccia, Roberto","Elsevier Science B.V., Amsterdam.",2018
6,Fuzzy Shared Semi-Autonomous Control System For Military Vehicles,"Sá,  Hebert Azevedo; Ferreira,  Armando Morado; Neto,  Mauro Speranza; Meggiolaro,  Marco Antonio",Society of Automotive Engineers,2015
