,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title
0,서울특별시 중구 명동길 26,(명동2가),1,A02,A0208,A02080300,406745,15,20080118180330,589,http://tong.visitkorea.or.kr/cms/resource/86/2034286_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2034286_image3_1.jpg,126.9837456304,37.5634463660,6,20211221164759,44442,24,02-739-8288,난타 (명동)
1,서울특별시 종로구 종로 54 보신각,1,A02,A0208,A02080100,2809535,15,20220307144537,237,http://tong.visitkorea.or.kr/cms/resource/29/2809529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2809529_image2_1.jpg,126.9836898995,37.5698206245,6,20220315130954,0,23,02-120,남산봉수의식 등 전통문화 재현행사,
2,온라인개최,1,A02,A0207,A02070200,2383974,15,20160516200321,460,126.9778738825,37.5656098983,6,20220511134730,5243,23,02-861-3020,모두하나대축제,,,
3,서울특별시 종로구 인사동길 7,(인사동),1,A02,A0207,A02070200,2754423,15,20211006175116,582,http://tong.visitkorea.or.kr/cms/resource/94/2754994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2754994_image2_1.jpg,126.9868617818,37.5716149173,6,20211013094919,0,23,02-749-0381,벨기에 페스티벌
4,서울 중구 태평로 2가 17-3,서울광장,1,A02,A0207,A02070200,2718543,15,20210526174106,486,http://tong.visitkorea.or.kr/cms/resource/40/2718540_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2718540_image2_1.jpg,126.9777155697,37.5653988094,6,20210601095541,0,24,02-516-2010,서울100K (SEOUL100K)
5,서울특별시 중구 세종대로 110,(태평로1가),1,A02,A0207,A02070200,2738786,15,20210901134706,349,http://tong.visitkorea.or.kr/cms/resource/84/2738784_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2738784_image2_1.jpg,126.9784043599,37.5666625635,6,20210907171522,0,24,02-786-7518,서울세계도시문화축제
6,온라인개최,1,A02,A0207,A02070200,2455073,15,20161213152654,355,http://tong.visitkorea.or.kr/cms/resource/56/2801156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2801156_image2_1.jpg,126.9783710306,37.5665986816,6,20211227103222,3903,24,02-3447-0101,서울영상광고제,
7,서울특별시 중구 세종대로19길 16,(정동),1,A02,A0207,A02070200,1937544,15,20140728142434,485,http://tong.visitkorea.or.kr/cms/resource/55/2737055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2737055_image2_1.jpg,126.9765823002,37.5667736284,6,20210826163420,8386,24,02-765-7500,서울청소년연극축제
8,서울특별시 중구 명동길 61,(명동1가),1,A02,A0208,A02081300,2784769,15,20211201141428,587,http://tong.visitkorea.or.kr/cms/resource/66/2784766_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2784766_image2_1.jpg,126.9858787417,37.5644379556,6,20211201141428,0,24,02-736-2320,연구산업 컨퍼런스 2022
9,서울특별시 종로구 우정국로 55,1,A02,A0207,A02070200,531460,15,20080415015603,535,http://tong.visitkorea.or.kr/cms/resource/22/2811822_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2811822_image2_1.jpg,126.9815038890,37.5733035136,6,20220322173219,128875,23,02-2011-1744~1747,연등회,
