,userID,rating,area
0,1000101,4.0,경기도 수원시
1,1000102,4.0,경기도 양주시
2,1000203,4.0,강원도 강릉시
5,1000303,4.0,인천광역시 연수구
7,1000401,4.0,강원도 속초시
8,1000402,4.0,경상남도 산청군
12,1000701,4.0,강원도 동해시
13,1000701,4.0,경상북도 영덕군
17,1000801,4.0,서울특별시 중구
18,1000901,4.0,경기도 구리시
19,1000901,4.0,강원도 춘천시
21,1001002,4.0,경기도 포천시
22,1001002,4.0,강원도 평창군
23,1001002,4.0,전라북도 진안군
24,1001002,4.0,전라북도 진안군
27,1001301,3.0,강원도 속초시
29,1001702,4.0,경기도 남양주시
30,1001702,4.0,강원도 속초시
32,1001803,4.0,강원도 홍천군
33,1001803,4.0,경상북도 포항시
37,1001904,4.0,부산광역시 중구
38,1001904,4.0,부산광역시 중구
39,1001902,4.0,경기도 수원시
43,1002201,4.0,인천광역시 강화군
44,1002202,4.0,경기도 남양주시
45,1002201,4.0,강원도 평창군
47,1002302,4.0,경기도 수원시
53,1002401,4.0,강원도 강릉시
55,1002802,5.0,인천광역시 중구
56,1002801,4.0,경기도 의정부시
57,1003105,5.0,부산광역시 해운대구
58,1003105,4.0,부산광역시 해운대구
59,1003105,5.0,인천광역시 중구
64,1003202,4.0,서울특별시 도봉구
65,1003201,5.0,경기도 동두천시
66,1003201,4.0,경기도 양평군
67,1003201,4.0,강원도 속초시
68,1003201,4.0,강원도 홍천군
69,1003201,5.0,경상남도 김해시
72,1003302,5.0,서울특별시 종로구
73,1003302,3.0,서울특별시 강서구
79,1003502,5.0,경기도 수원시
82,1003701,4.0,서울특별시 금천구
83,1003702,1.0,경기도 고양시
84,1003902,5.0,경기도 양평군
85,1003902,3.0,전라남도 보성군
91,1004202,4.0,경기도 가평군
92,1004202,4.0,강원도 속초시
94,1004503,4.0,강원도 강릉시
95,1004503,4.0,강원도 홍천군
96,1004503,4.0,충청북도 괴산군
99,1004601,4.0,경기도 이천시
100,1004601,4.0,경기도 이천시
101,1004601,4.0,경기도 양평군
102,1004601,4.0,경기도 양평군
103,1004602,4.0,강원도 속초시
112,1005101,4.0,경기도 여주시
113,1005102,4.0,경기도 양평군
114,1005104,4.0,강원도 강릉시
115,1005104,4.0,강원도 강릉시
116,1005102,4.0,강원도 속초시
123,1005302,4.0,서울특별시 강북구
124,1005302,4.0,서울특별시 서초구
125,1005301,5.0,경기도 수원시
126,1005302,4.0,경기도 수원시
127,1005301,4.0,경기도 이천시
128,1005302,4.0,강원도 강릉시
129,1005302,4.0,충청남도 태안군
130,1005503,5.0,인천광역시 연수구
131,1005503,5.0,인천광역시 연수구
132,1005503,4.0,강원도 횡성군
133,1005503,4.0,전라남도 여수시
138,1005604,5.0,부산광역시 부산진구
144,1005802,4.0,경기도 포천시
145,1005802,4.0,경기도 여주시
147,1006102,4.0,인천광역시 옹진군
148,1006102,3.0,경기도 하남시
149,1006102,4.0,경기도 양평군
150,1006102,3.0,충청남도 보령시
151,1006103,3.0,전라남도 장흥군
152,1006103,4.0,경상남도 거제시
156,1006204,4.0,부산광역시 서구
157,1006205,3.0,경기도 가평군
158,1006204,4.0,강원도 삼척시
