,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
1,2020,"2,331,023,310",2,1,3,2,0,439000,219500,4,1,28,1,1,"1,2,6",1,"9,5,14",3
2,2020,31160,1,0,,4,0,70002,23334,4,1,57,2,1,"1,6",1,"2,4,11",3
3,2020,31110,1,0,,3,0,74500,26500,4,2,19,2,1,5,"5,2","12,5,9",3
4,2020,"2,308,031,270",2,"0,0",,2,0,100000,50000,4,2,36,2,1,"1,2,6",1,"9,5,1",3
5,2020,"3,240,032,390",2,1,11,4,0,400000,100000,4,1,26,2,1,"1,2,6",1,"12,6,5",3
6,2020,"39,010,390,103,901,000,000",4,2,"4,4",2,0,794000,681500,4,2,27,1,1,"1,2,4,6","3,10","6,1,14",3
7,2020,"383,603,836,038,360",3,2,"3,3",4,0,1101000,303750,5,2,52,1,1,"1,4,6",1,"2,1,11",1
9,2020,31130,1,0,,3,0,37000,37000,5,1,49,3,1,"1,2","5,6,2","11,5,9",3
10,2020,31370,1,0,,4,0,124000,86500,5,1,27,3,1,"1,2,6",1,"14,2,4",4
12,2020,35330,1,1,3,5,0,272500,160500,5,2,50,4,1,"1,2","5,2,10","14,11,1",3
13,2020,31370,1,0,,3,0,219000,73000,5,1,63,4,1,"1,2",1,"3,5,4",1
14,2020,"350,203,502,035,020",3,2,"10,10",3,0,544999,390333,4,1,27,4,1,"1,2","2,4,10","11,2,8",3
15,2020,"3,405,034,050",2,1,3,3,0,362998,193666,4,1,49,4,1,"1,2,4,6",1,"14,9,11",1
16,2020,31370,1,0,,2,0,91000,91000,5,1,63,5,1,"2,5,11",1,"4,9,14",1
17,2020,"3,338,033,380",2,1,3,4,0,110000,110000,4,2,49,5,1,"1,2,6","5,7","3,5,14",3
18,2020,31130,1,0,,2,0,78000,60500,4,1,28,5,1,"1,2",1,"14,3,1",3
19,2020,"3,138,031,380",2,1,3,5,0,325000,149000,5,2,63,5,1,"1,2,6",1,"5,3,9",3
20,2020,"320,303,203,032,030",3,1,4,4,0,392000,380000,4,1,28,6,1,"1,2,4,6,8","6,5,2","1,6,2",3
21,2020,"3,137,031,370",2,0,,7,0,68000,68000,4,1,19,6,1,"1,2","5,2","1,11,4",3
22,2020,31270,1,0,,2,0,79000,49000,5,2,34,6,1,"1,2",1,"5,9,11",3
23,2020,"3,702,037,020,370,200,000,000,000",5,2,"4,4",2,0,533000,408000,4,1,27,6,1,"1,2,4,6,9","2,10,5","12,4,2",3
24,2020,31110,1,0,,4,0,31000,31000,4,2,19,6,1,"1,9","5,2","2,9,3",3
25,2020,"32,030,320,303,203,000,000",4,2,"1,1",4,0,650000,327500,5,2,45,7,1,"1,2,6,8",1,"14,1,2",1
26,2020,"3,403,034,030",2,1,4,4,0,331000,158500,4,2,34,7,1,"1,2,6,9",1,"4,5,6",3
27,2020,31240,1,1,10,3,0,312002,150667,4,1,27,7,1,"1,2",8,"5,2,9",3
30,2020,"364,603,646,036,460",3,2,3,2,0,515000,394500,5,2,29,8,1,"1,2,4,6","2,4","1,2,8",3
31,2020,"3,636,036,360",2,1,4,3,0,480000,240000,5,2,34,8,1,"1,2,6",1,"1,14,11",3
32,2020,31370,1,0,,4,0,134000,84000,4,1,29,8,1,"1,2",8,"2,5,1",3
33,2020,31200,1,0,,4,0,60000,48750,3,2,28,2,1,"1,2","5,10,2","11,2,8",3
34,2020,"3,127,031,280",2,"0,0",,4,0,165000,41250,4,2,56,2,1,"2,6,7",1,"9,1,4",3
35,2020,31260,1,0,,3,0,110001,36667,4,2,63,2,1,"1,2,6",1,"4,1",3
36,2020,31370,1,0,,1,,70000,70000,4,1,38,2,1,1,1,"5,1",
37,2020,31110,1,0,,4,0,150000,37500,4,2,36,9,1,"1,2","5,2","2,4,11",3
38,2020,"3,201,032,010",2,1,11,4,0,360000,90000,4,2,27,9,1,"1,2,6",1,"4,1,6",3
39,2020,32010,1,0,,2,0,152000,76000,4,1,36,10,1,"1,2,6",1,"2,4,8",3
40,2020,"3,206,032,060",2,1,4,4,0,628000,157000,4,2,35,10,1,"2,3,6",1,"6,2,11",3
43,2020,"3,839,038,390",2,1,10,4,2,618000,154500,4,2,38,3,1,"1,2,6,7",1,"1,2,11",1
44,2020,31130,1,0,,2,0,50000,25000,4,1,42,3,1,"2,6",6,"2,4,5",1
45,2020,31200,1,0,,3,0,519999,173333,4,2,27,11,1,"2,6",1,"7,11,4",3
46,2020,31260,1,0,,2,0,75000,37500,4,1,57,11,1,"1,2",1,"4,11,1",3
47,2020,31270,1,0,,2,0,150000,60000,4,1,48,11,1,"1,2,6",1,"11,8,4",3
48,2020,31210,1,0,,2,0,490000,245000,4,2,37,11,1,"1,2,8",1,"4,7,8",3
49,2020,31210,1,0,,2,0,267000,133500,4,1,37,12,1,"1,6,8",1,"4,8,7",3
50,2020,23310,1,0,,2,0,235000,117500,4,2,35,12,1,"1,2,6",1,"1,8,2",3
51,2020,"3,113,032,010",2,"0,1",1,8,0,175000,175000,4,1,36,1,1,"1,6",1,"2,5,1",3
52,2020,"3,203,032,030",2,1,1,5,0,195000,195000,4,1,62,1,1,"2,6",1,"2,1,5",3
53,2020,"2,109,021,010",2,1,1,2,0,270000,270000,4,2,28,1,1,"1,6",1,"8,1,2",1
54,2020,"3,113,031,130",2,1,3,4,2,602000,150500,4,1,45,4,1,"1,2,6",1,"2,4,11",1
55,2020,"3,137,031,260",2,1,3,5,2,652000,130400,4,1,38,4,1,"1,2,6",1,"4,1,2","1,2"
56,2020,"3,703,037,030",2,1,4,4,2,650000,162500,4,2,44,4,1,"1,2,6,8",1,"1,2,5",1
57,2020,32010,1,0,,3,0,156003,52001,4,1,53,4,1,"1,2,6",1,"2,12,8",1
59,2020,"3,206,032,060",2,1,4,5,1,875000,175000,4,1,17,5,1,"1,2,6",1,"2,1,8","1,2"
60,2020,31370,1,0,,4,1,185000,44750,4,2,54,5,1,"1,2,6",1,"2,5,4",1
62,2020,31130,1,0,,4,2,178000,44500,4,2,46,5,1,"1,2,6",1,"8,4,2",1
64,2020,31010,1,0,,4,0,198000,49500,4,1,53,5,1,"1,2,6",1,"2,4,3","1,2"
65,2020,"3,202,032,020",2,1,3,3,1,459999,153333,4,2,45,2,1,1,1,"12,5",1
66,2020,31190,1,0,,4,0,71000,71000,4,1,18,2,1,5,6,"2,4",3
67,2020,31370,1,0,,2,0,100000,50000,4,1,46,2,1,1,1,"1,5",1
68,2020,34370,1,0,,2,0,124000,62000,4,2,52,2,1,7,1,"4,3",1
69,2020,31380,1,0,,2,0,70000,35000,4,1,45,3,1,1,1,"4,2",1
70,2020,31100,1,0,,2,0,90000,45000,4,2,42,3,1,"1,2",1,"8,4",1
71,2020,31120,1,0,,2,0,60000,30000,4,2,36,3,1,1,1,"4,2",1
72,2020,31370,1,0,,2,0,90000,30000,4,1,37,3,1,"1,6",1,1,3
73,2020,31380,1,0,,3,1,144999,48333,4,2,45,4,1,"1,2,6",1,"4,2",1
74,2020,31130,1,0,,2,0,100000,50000,5,2,29,4,1,"1,2",1,"4,8",3
75,2020,"3,206,032,060",2,1,3,5,0,200000,140000,5,2,61,4,1,"1,4,6",1,"1,12",3
76,2020,"3,137,031,370",2,0,,2,0,122000,61000,4,2,34,4,1,"1,6",1,"4,2",1
77,2020,"3,702,037,020",2,1,8,3,1,654999,218333,5,1,48,6,1,"1,2,4",1,"2,13",1
78,2020,31270,1,0,,3,1,114999,38333,5,2,38,6,1,1,1,2,1
79,2020,31280,1,0,,3,1,144999,48333,5,2,42,6,1,"1,2",1,"3,2",1
80,2020,"3,501,035,010",2,1,8,4,0,243000,233000,4,2,28,6,1,"1,2,4",1,"1,2,8",3
81,2020,"3,241,032,390",2,1,3,4,0,245000,185000,5,2,56,6,1,"1,2,4",1,"2,1",3
82,2020,"3,206,032,060",2,1,3,3,1,533001,177667,5,2,43,5,1,"1,2",1,"2,4,1",1
83,2020,23310,1,0,,2,0,150000,75000,5,1,36,5,1,"1,2,6",1,"2,4",3
84,2020,31270,1,0,,3,1,194001,64667,5,2,38,5,1,"1,2",1,"2,1",1
85,2020,"3,602,036,020",2,1,1,3,0,275000,275000,5,2,63,5,1,"1,2,4","2,10,6","5,2",3
86,2020,31370,1,0,,2,0,110000,55000,5,2,28,5,1,1,1,"4,2",3
87,2020,23010,1,0,,3,0,238001,112667,4,2,45,7,1,"6,8",1,"3,7,4",1
88,2020,"3,206,032,060",2,2,7,6,0,452000,148500,5,2,63,7,1,"1,2,4,6",1,"6,2","1,2"
89,2020,34030,1,1,10,4,0,145000,135000,5,2,28,7,1,"1,6",1,"2,3,1",3
90,2020,"3,438,034,380",2,1,3,5,1,441000,174250,4,2,38,7,1,"1,2,6",1,"5,1,2","1,2"
91,2020,32010,1,0,,3,1,291999,97333,5,1,43,7,1,"1,3",1,"4,10",1
92,2020,"3,438,034,380",2,1,3,4,0,490000,225000,4,1,37,8,1,"1,2,6",1,"2,6",3
93,2020,"3,303,033,030",2,1,3,4,0,396000,198000,5,2,61,8,1,"1,6",1,"4,1","1,2"
94,2020,"3,206,032,060",2,1,3,6,0,513998,230333,5,2,55,8,1,"1,6",1,"14,4,2","1,2"
95,2020,"3,137,031,370",2,1,3,6,0,130000,115000,5,1,47,8,1,"1,6",1,"4,2,1","1,2"
96,2020,35020,1,1,2,2,0,430000,215000,5,2,38,8,1,"1,3,6",1,"1,5,2",1
97,2020,"3,533,035,330",2,1,3,4,0,200000,190000,5,1,28,8,1,"3,6",1,"2,10",3
98,2020,31270,1,0,,2,0,149000,74500,5,2,28,6,1,1,1,"4,2",3
99,2020,34050,1,0,,2,0,142000,71000,4,1,37,6,1,"1,2",1,"2,4",3
100,2020,31130,1,0,,3,1,150000,50000,5,2,36,6,1,"1,2,6",1,"4,1,2",1
101,2020,31210,1,0,,3,1,183000,61000,5,1,43,6,1,1,1,"4,2",1
102,2020,23310,1,0,,2,0,100000,50000,5,2,57,6,1,"1,4",1,"2,1",1
103,2020,23010,1,0,,4,0,122000,61000,4,1,19,7,1,"1,6",1,"4,2",3
104,2020,"353,303,533,035,330",3,2,"3,3",2,0,402000,201000,5,1,36,7,1,"1,2,6",1,"1,2",3
105,2020,23310,1,0,,3,1,255000,85000,5,2,38,7,1,"1,2,4",1,"4,1",1
106,2020,31380,1,0,,2,0,144000,74000,5,2,29,7,1,"1,2,6",1,"2,1",3
107,2020,31370,1,1,11,3,1,500001,166667,5,1,42,7,1,"1,2,3,6",1,"5,4,2",1
108,2020,"323,403,201,032,010",3,1,8,4,0,489000,122250,5,2,57,7,1,"1,4",1,"2,1","1,2"
109,2020,"360,203,602,036,020",3,1,1,3,1,680004,226668,5,2,38,9,1,"1,2,4",1,"1,2,8",1
110,2020,32010,1,0,,4,0,109000,109000,5,2,28,9,1,"1,3","1,4","2,4",3
111,2020,31130,1,0,,3,1,140001,46667,5,2,45,9,1,"2,6",1,"3,2,1",1
