,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
0,2018.0,34360,1,0,0,33.0,0.0,57200.0,,4.0,2,53,5,11,"1,2,6","7,8","2,14",5,5.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,34360,,,,,,,,,,,7,8,,2,14,,,,,,,,,,,,,,,
1,2018.0,31350,1,0,0,5.0,0.0,90000.0,,4.0,1,76,5,11,"1,2,7",1,"12,4,14",3,3.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,31350,,,,,,,,,,,1,,,12,4,14,,,,,,,,,,,,,,
2,2018.0,36360,1,1,1,5.0,0.0,42003.51493848857,,4.0,2,65,9,11,"1,2,6",1,6,3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,36360,,,,,,,,,,,1,,,6,,,1.0,,,,,,,,,,,,,
3,2018.0,31370,1,0,0,2.0,0.0,50000.0,,4.0,1,23,9,11,"2,6,16",6,"4,2,8",3,3.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,31370,,,,,,,,,,,6,,,4,2,8,,,,,,,,,,,,,,
4,2018.0,32340,1,1,1,5.0,0.0,198000.0,,4.0,1,32,2,11,"1,2,3,6",1,"4,5,10",3,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,32340,,,,,,,,,,,1,,,4,5,10,1.0,,,,,,,,,,,,,
5,2018.0,23010,1,1,1,2.0,0.0,84900.0,,4.0,2,55,2,11,"1,2,6,7",1,"8,4,5",1,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,23010,,,,,,,,,,,1,,,8,4,5,1.0,,,,,,,,,,,,,
6,2018.0,31190,1,0,0,4.0,2.0,56000.0,,4.0,1,44,5,11,"1,2,5,6",1,"2,5,13",1,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,31190,,,,,,,,,,,1,,,2,5,13,,,,,,,,,,,,,,
7,2018.0,32010,1,0,0,2.0,0.0,46000.0,,3.0,2,24,5,11,"1,2,6","2,5","12,9,1",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,2,5,,12,9,1,,,,,,,,,,,,,,
8,2018.0,36030,1,2,1,3.0,1.0,170124.48132780087,,4.0,2,47,8,11,"1,2,6",1,"12,3,2",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,36030,,,,,,,,,,,1,,,12,3,2,1.0,1.0,,,,,,,,,,,,
9,2018.0,21090,1,3,"1,3,4",4.0,0.0,220000.0,,3.0,2,53,8,11,"1,2,8,15,17","2,10,1","11,8,9",3,3.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,21090,,,,,,,,,,,2,10,1,11,8,9,1.0,3.0,4.0,,,,,,,,,,,
10,2018.0,23310,1,0,0,2.0,0.0,50000.0,,4.0,1,34,11,11,"1,2",1,"1,2,9",3,3.0,,,1.0,1.0,,,,,,,,,,,,,,,23310,,,,,,,,,,,1,,,1,2,9,,,,,,,,,,,,,,
11,2018.0,35010,1,0,0,3.0,0.0,95555.55555555556,,4.0,2,32,11,11,"2,16","2,10","14,8,1",3,3.0,,,,1.0,,,,,,,,,,,,,1.0,,35010,,,,,,,,,,,2,10,,14,8,1,,,,,,,,,,,,,,
12,2018.0,34380,1,0,0,65.0,0.0,46511.62790697676,,4.0,1,54,11,11,"1,6,7",7,"8,3,10",5,5.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,34380,,,,,,,,,,,7,,,8,3,10,,,,,,,,,,,,,,
13,2018.0,32340,1,1,1,8.0,2.0,176000.0,,4.0,1,36,1,11,"1,2,3,6,7",1,"4,9,1","1,3",1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,32340,,,,,,,,,,,1,,,4,9,1,1.0,,,,,,,,,,,,,
14,2018.0,21090,1,2,"1,3",4.0,0.0,282529.12621359224,,4.0,2,63,1,11,"2,6,7,8,15","2,10","8,4,5",3,3.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,21090,,,,,,,,,,,2,10,,8,4,5,1.0,3.0,,,,,,,,,,,,
15,2018.0,31200,1,0,0,3.0,1.0,45000.0,,4.0,2,37,9,11,"1,2,6",1,"3,1,5",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,1,,,3,1,5,,,,,,,,,,,,,,
16,2018.0,32030,1,1,1,9.0,0.0,150000.0,,4.0,2,58,9,11,"1,2,6",1,"1,5,8",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32030,,,,,,,,,,,1,,,1,5,8,1.0,,,,,,,,,,,,,
18,2018.0,35040,1,0,0,4.0,0.0,64615.38461538461,,4.0,2,62,10,11,"1,2,9",7,"8,12",3,3.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,35040,,,,,,,,,,,7,,,8,12,,,,,,,,,,,,,,,
19,2018.0,99999,1,2,1,3.0,1.0,276000.0,,4.0,2,38,5,11,6,1,"14,1,11",1,1.0,,,,,,,,1.0,,,,,,,,,,,99999,,,,,,,,,,,1,,,14,1,11,1.0,1.0,,,,,,,,,,,,
20,2018.0,32390,1,2,1,3.0,0.0,318000.0,,4.0,2,48,5,11,6,1,"1,11,9",1,1.0,,,,,,,,1.0,,,,,,,,,,,32390,,,,,,,,,,,1,,,1,11,9,1.0,1.0,,,,,,,,,,,,
21,2018.0,31370,1,1,11,6.0,0.0,107000.0,,4.0,1,19,6,11,17,6,"4,14,5",3,3.0,,,,,,,,,,,,,,,,,,1.0,31370,,,,,,,,,,,6,,,4,14,5,11.0,,,,,,,,,,,,,
22,2018.0,31370,1,0,0,3.0,0.0,50000.0,,4.0,2,55,6,11,6,2,"1,5,8",3,3.0,,,,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,2,,,1,5,8,,,,,,,,,,,,,,
24,2018.0,99999,1,2,5,4.0,0.0,233000.0,,4.0,1,29,2,11,6,1,"13,14,3",1,1.0,,,,,,,,1.0,,,,,,,,,,,99999,,,,,,,,,,,1,,,13,14,3,5.0,5.0,,,,,,,,,,,,
25,2018.0,23080,1,0,0,3.0,0.0,38000.0,,4.0,2,29,6,11,6,5,"11,13,10",3,3.0,,,,,,,,1.0,,,,,,,,,,,23080,,,,,,,,,,,5,,,11,13,10,,,,,,,,,,,,,,
27,2018.0,33020,1,1,1,2.0,0.0,85000.0,,4.0,1,55,1,11,"1,6,7",1,"11,3,14",1,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,33020,,,,,,,,,,,1,,,11,3,14,1.0,,,,,,,,,,,,,
29,2018.0,32050,1,0,0,40.0,0.0,30000.0,,4.0,2,51,12,11,1,7,3,5,5.0,,,1.0,,,,,,,,,,,,,,,,32050,,,,,,,,,,,7,,,3,,,,,,,,,,,,,,,,
31,2018.0,23310,1,0,0,4.0,0.0,100000.0,,4.0,1,26,12,11,"1,6",1,"3,5",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,23310,,,,,,,,,,,1,,,3,5,,,,,,,,,,,,,,,
32,2018.0,32050,1,2,1,3.0,0.0,300000.0,,4.0,1,41,12,11,"1,2,11",1,"2,11,12",3,3.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,32050,,,,,,,,,,,1,,,2,11,12,1.0,1.0,,,,,,,,,,,,
33,2018.0,99999,1,0,0,3.0,0.0,54000.0,,4.0,2,48,4,11,6,1,"12,8,2",1,1.0,,,,,,,,1.0,,,,,,,,,,,99999,,,,,,,,,,,1,,,12,8,2,,,,,,,,,,,,,,
34,2018.0,31370,1,0,0,3.0,1.0,45000.0,,3.0,1,35,4,11,6,1,"4,14",1,1.0,,,,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,1,,,4,14,,,,,,,,,,,,,,,
35,2018.0,23050,1,0,0,4.0,0.0,47000.0,,4.0,1,52,4,11,6,1,"8,2",1,1.0,,,,,,,,1.0,,,,,,,,,,,23050,,,,,,,,,,,1,,,8,2,,,,,,,,,,,,,,,
36,2018.0,99999,1,0,0,3.0,1.0,42000.0,,4.0,1,37,6,11,3,1,"8,1,3",1,1.0,,,,,1.0,,,,,,,,,,,,,,99999,,,,,,,,,,,1,,,8,1,3,,,,,,,,,,,,,,
37,2018.0,31150,1,0,0,3.0,0.0,110000.0,,4.0,2,64,3,11,6,1,"1,2,8",3,3.0,,,,,,,,1.0,,,,,,,,,,,31150,,,,,,,,,,,1,,,1,2,8,,,,,,,,,,,,,,
38,2018.0,31130,1,0,0,3.0,0.0,65000.0,,4.0,2,48,3,11,1,1,11,1,1.0,,,1.0,,,,,,,,,,,,,,,,31130,,,,,,,,,,,1,,,11,,,,,,,,,,,,,,,,
