,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
0,2019.0,36460,1,2,2,12.0,0.0,250000.0,,4.0,1,5,1,11,"1,2,6","2,4","14,2,9",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,36460,,,,,,,,,,,2,4,,14,2,9,2.0,2.0,,,,,,,,,,,,
1,2019.0,21090,1,2,9,6.0,0.0,217000.0,,4.0,1,1,1,11,"1,2,3,6,7,8,9","2,5,3","2,4,10",3,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,21090,,,,,,,,,,,2,5,3,2,4,10,9.0,9.0,,,,,,,,,,,,
2,2019.0,31370,1,2,3,3.0,1.0,348000.0,,4.0,1,4,1,11,"1,2,3",1,"9,1,4",1,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,31370,,,,,,,,,,,1,,,9,1,4,3.0,3.0,,,,,,,,,,,,
3,2019.0,36360,1,2,1,3.0,0.0,43000.0,,4.0,2,3,1,11,"1,2,6",1,"5,14,8",4,4.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,36360,,,,,,,,,,,1,,,5,14,8,1.0,1.0,,,,,,,,,,,,
4,2019.0,25040,1,0,0,3.0,0.0,200000.0,,4.0,2,2,1,11,"2,7",1,12,3,3.0,,,,1.0,,,,,1.0,,,,,,,,,,25040,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,,
5,2019.0,32310,1,1,3,5.0,0.0,360000.0,,4.0,1,1,1,11,"1,2,3,6",1,"1,9,5","3,4",3.0,4.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,32310,,,,,,,,,,,1,,,1,9,5,3.0,,,,,,,,,,,,,
6,2019.0,32060,1,1,4,3.0,0.0,300010.0,,4.0,2,5,1,11,"1,2",1,"9,5,11",1,1.0,,,1.0,1.0,,,,,,,,,,,,,,,32060,,,,,,,,,,,1,,,9,5,11,4.0,,,,,,,,,,,,,
7,2019.0,21060,1,1,2,4.0,0.0,171000.0,,4.0,1,4,2,11,"1,2,7",1,"2,14",1,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,21060,,,,,,,,,,,1,,,2,14,,2.0,,,,,,,,,,,,,
8,2019.0,32340,1,1,13,4.0,0.0,143000.0,,4.0,2,3,2,11,"1,3,6",1,"4,5,11",3,3.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,32340,,,,,,,,,,,1,,,4,5,11,13.0,,,,,,,,,,,,,
9,2019.0,39010,1,2,9,3.0,0.0,502000.0,,4.0,2,2,2,11,"1,2,3,6,9","6,4,3","8,1,10",3,3.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,39010,,,,,,,,,,,6,4,3,8,1,10,9.0,9.0,,,,,,,,,,,,
10,2019.0,34370,1,0,0,25.0,0.0,30000.0,,4.0,2,7,2,11,"2,6,7",7,"4,1,9",5,5.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,34370,,,,,,,,,,,7,,,4,1,9,,,,,,,,,,,,,,
11,2019.0,32350,1,2,10,8.0,2.0,500000.0,,4.0,2,4,2,11,"2,6,16",1,"3,9,4","1,2",1.0,2.0,,,1.0,,,,1.0,,,,,,,,,1.0,,32350,,,,,,,,,,,1,,,3,9,4,10.0,10.0,,,,,,,,,,,,
12,2019.0,32340,1,2,4,6.0,2.0,1000050.0,,4.0,1,3,2,11,"1,2,3,6",1,"5,8,4","1,3",1.0,3.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,32340,,,,,,,,,,,1,,,5,8,4,4.0,4.0,,,,,,,,,,,,
13,2019.0,32030,1,1,3,4.0,0.0,315000.0,,4.0,1,7,2,11,"1,4,6",1,"2,14",1,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,32030,,,,,,,,,,,1,,,2,14,,3.0,,,,,,,,,,,,,
14,2019.0,32020,1,0,0,5.0,0.0,108000.0,,4.0,1,5,3,11,"1,6",1,"8,4,13",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,32020,,,,,,,,,,,1,,,8,4,13,,,,,,,,,,,,,,
15,2019.0,"38350,36020",2,4,1,4.0,2.0,873000.0,,4.0,2,5,3,11,"1,2,6,8",1,"12,1,2",1,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,38350,36020.0,,,,,,,,,,1,,,12,1,2,1.0,1.0,1.0,1.0,,,,,,,,,,
16,2019.0,35010,1,1,2,3.0,0.0,154800.0,,4.0,2,2,3,11,"1,2,6,9,11","2,6,10","12,5,14",3,3.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,35010,,,,,,,,,,,2,6,10,12,5,14,2.0,,,,,,,,,,,,,
17,2019.0,35010,1,1,12,2.0,0.0,272000.0,,4.0,1,3,3,11,6,"5,6,2","1,14,5",1,1.0,,,,,,,,1.0,,,,,,,,,,,35010,,,,,,,,,,,5,6,2,1,14,5,12.0,,,,,,,,,,,,,
18,2019.0,23010,1,0,0,3.0,1.0,67980.0,,4.0,2,3,3,11,"1,2,3",1,"1,3,13",1,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,23010,,,,,,,,,,,1,,,1,3,13,,,,,,,,,,,,,,
19,2019.0,32010,1,0,0,4.0,2.0,319000.0,,4.0,1,4,4,11,"1,6",1,"9,1,3",1,1.0,,,1.0,,,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,1,,,9,1,3,,,,,,,,,,,,,,
20,2019.0,31270,1,0,0,28.0,0.0,30000.0,,4.0,1,6,4,11,"1,2,6","7,8","9,2,3",5,5.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,31270,,,,,,,,,,,7,8,,9,2,3,,,,,,,,,,,,,,
21,2019.0,32030,1,1,1,6.0,0.0,1350000.0,,4.0,2,3,4,11,"1,6",1,"4,2,5","1,2",1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,32030,,,,,,,,,,,1,,,4,2,5,1.0,,,,,,,,,,,,,
22,2019.0,31190,1,0,0,1.0,,286000.0,,4.0,2,4,4,11,5,1,"1,4,13",,,,,,,,,1.0,,,,,,,,,,,,31190,,,,,,,,,,,1,,,1,4,13,,,,,,,,,,,,,,
23,2019.0,23310,1,0,0,5.0,0.0,97000.0,,4.0,2,6,4,11,"1,4,6",1,"3,8,12",3,3.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,23310,,,,,,,,,,,1,,,3,8,12,,,,,,,,,,,,,,
24,2019.0,32060,1,1,3,3.0,1.0,219000.0,,4.0,1,1,4,11,"1,2,4",1,"8,2",1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,32060,,,,,,,,,,,1,,,8,2,,3.0,,,,,,,,,,,,,
25,2019.0,34050,1,0,0,56.0,0.0,32000.0,,4.0,1,5,4,11,"1,2",7,"8,3,1",5,5.0,,,1.0,1.0,,,,,,,,,,,,,,,34050,,,,,,,,,,,7,,,8,3,1,,,,,,,,,,,,,,
26,2019.0,"33350,31100",2,"1,0",2,8.0,0.0,103000.0,,4.0,2,5,2,11,"1,2,6",1,"4,2,14","1,2",1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,33350,31100.0,,,,,,,,,,1,,,4,2,14,2.0,0.0,,,,,,,,,,,,
27,2019.0,23310,1,0,0,12.0,0.0,195000.0,,4.0,1,6,2,11,"1,2,4,5,6,8,9","3,7,6","9,5,1",3,3.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,23310,,,,,,,,,,,3,7,6,9,5,1,,,,,,,,,,,,,,
29,2019.0,"32030,31220",2,"1,0",3,3.0,1.0,442000.0,,4.0,2,3,2,11,"1,2,4,6",1,"8,4,9",1,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,32030,31220.0,,,,,,,,,,1,,,8,4,9,3.0,0.0,,,,,,,,,,,,
31,2019.0,34360,1,1,4,6.0,0.0,636000.0,,4.0,1,5,5,11,"2,6",1,11,4,4.0,,,,1.0,,,,1.0,,,,,,,,,,,34360,,,,,,,,,,,1,,,11,,,4.0,,,,,,,,,,,,,
32,2019.0,31190,1,0,0,4.0,0.0,323500.0,,4.0,2,4,5,11,"1,5",1,"5,2,4",1,1.0,,,1.0,,,,1.0,,,,,,,,,,,,31190,,,,,,,,,,,1,,,5,2,4,,,,,,,,,,,,,,
33,2019.0,31110,1,0,0,2.0,0.0,88800.0,,4.0,2,2,5,11,"1,5,6","5,2","2,12,14",3,3.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,31110,,,,,,,,,,,5,2,,2,12,14,,,,,,,,,,,,,,
34,2019.0,23320,1,1,12,2.0,0.0,165000.0,,4.0,2,3,5,11,"1,2,6",1,"1,3",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,23320,,,,,,,,,,,1,,,1,3,,12.0,,,,,,,,,,,,,
35,2019.0,32340,1,1,4,8.0,0.0,486000.0,,4.0,1,4,5,11,"1,2,6,7",1,"5,2,1","1,2",1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,32340,,,,,,,,,,,1,,,5,2,1,4.0,,,,,,,,,,,,,
36,2019.0,32060,1,0,0,34.0,0.0,50000.0,,4.0,2,6,5,11,"1,2,6",7,"3,2,13",5,5.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32060,,,,,,,,,,,7,,,3,2,13,,,,,,,,,,,,,,
37,2019.0,35380,1,1,3,2.0,0.0,487000.0,,4.0,1,1,5,11,"1,6",1,4,1,1.0,,,1.0,,,,,1.0,,,,,,,,,,,35380,,,,,,,,,,,1,,,4,,,3.0,,,,,,,,,,,,,
38,2019.0,31380,1,1,3,7.0,0.0,70000.0,,4.0,1,3,6,11,"2,3,6",9,"2,8,5",3,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,31380,,,,,,,,,,,9,,,2,8,5,3.0,,,,,,,,,,,,,
39,2019.0,32030,1,0,0,3.0,0.0,44400.0,,4.0,2,5,6,11,"1,2,4,6","7,5,2","1,11,12",3,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,32030,,,,,,,,,,,7,5,2,1,11,12,,,,,,,,,,,,,,
40,2019.0,32310,1,1,11,3.0,0.0,133000.0,,4.0,1,6,6,11,"1,6",1,"1,4,2",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,32310,,,,,,,,,,,1,,,1,4,2,11.0,,,,,,,,,,,,,
41,2019.0,32030,1,1,3,2.0,0.0,380000.0,,3.0,1,4,6,11,"1,2,6,16",1,"3,9,4",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,32030,,,,,,,,,,,1,,,3,9,4,3.0,,,,,,,,,,,,,
42,2019.0,32310,1,1,11,3.0,0.0,147000.0,,4.0,2,2,6,11,"1,6",1,"1,4,2",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,32310,,,,,,,,,,,1,,,1,4,2,11.0,,,,,,,,,,,,,
43,2019.0,31370,1,1,3,3.0,0.0,273000.0,,4.0,1,5,6,11,"1,2,6,16",1,"4,2,6","1,2",1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,31370,,,,,,,,,,,1,,,4,2,6,3.0,,,,,,,,,,,,,
44,2019.0,39010,1,1,1,2.0,0.0,470000.0,,4.0,1,3,7,11,"1,2,6","3,8","9,14,1",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,39010,,,,,,,,,,,3,8,,9,14,1,1.0,,,,,,,,,,,,,
45,2019.0,31260,1,0,0,60.0,0.0,40000.0,,4.0,2,6,7,11,"1,2",1,"8,2",5,5.0,,,1.0,1.0,,,,,,,,,,,,,,,31260,,,,,,,,,,,1,,,8,2,,,,,,,,,,,,,,,
46,2019.0,35010,1,1,8,4.0,2.0,355000.0,,4.0,2,4,7,11,"1,2,4,15",1,"2,6,8",1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,35010,,,,,,,,,,,1,,,2,6,8,8.0,,,,,,,,,,,,,
47,2019.0,31370,1,0,0,3.0,0.0,33000.0,,4.0,1,1,7,11,"1,2,6","6,4","2,4,8",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,6,4,,2,4,8,,,,,,,,,,,,,,
48,2019.0,21020,1,2,1,4.0,0.0,865500.0,,4.0,2,5,8,11,"1,2,3",1,"9,2,12",1,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,21020,,,,,,,,,,,1,,,9,2,12,1.0,1.0,,,,,,,,,,,,
49,2019.0,34380,1,1,10,8.0,0.0,726500.0,,4.0,2,6,8,11,"1,2,6",1,"5,2,1","1,2",1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,34380,,,,,,,,,,,1,,,5,2,1,10.0,,,,,,,,,,,,,
