,year,sex,age,age,month,living_area,satisfied,cost_total_trip,number_of_children,number_of_ppl,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,A6_11,A6_12,A6_13,A6_14,D_TRA1_SMONTH,D_TRA2_SMONTH,D_TRA3_SMONTH,D_TRA4_SMONTH,D_TRA5_SMONTH,D_TRA6_SMONTH,D_TRA7_SMONTH,D_TRA8_SMONTH,D_TRA1_1_SPOT1,D_TRA1_1_SPOT2,D_TRA1_1_SPOT3,D_TRA1_1_SPOT4,D_TRA1_1_SPOT5,D_TRA1_1_SPOT6,D_TRA1_1_SPOT7,D_TRA1_1_SPOT8,D_TRA1_1_SPOT9,D_TRA1_1_SPOT10,D_TRA2_1_SPOT1,D_TRA2_1_SPOT2,D_TRA2_1_SPOT3,D_TRA2_1_SPOT4,D_TRA2_1_SPOT5,D_TRA2_1_SPOT6,D_TRA2_1_SPOT7,D_TRA2_1_SPOT8,D_TRA2_1_SPOT9,D_TRA2_1_SPOT10,D_TRA3_1_SPOT1,D_TRA3_1_SPOT2,D_TRA3_1_SPOT3,D_TRA3_1_SPOT4,D_TRA3_1_SPOT5,D_TRA3_1_SPOT6,D_TRA3_1_SPOT7,D_TRA3_1_SPOT8,D_TRA3_1_SPOT9,D_TRA3_1_SPOT10,D_TRA4_1_SPOT1,D_TRA4_1_SPOT2,D_TRA4_1_SPOT3,D_TRA4_1_SPOT4,D_TRA4_1_SPOT5,D_TRA4_1_SPOT6,D_TRA4_1_SPOT7,D_TRA4_1_SPOT8,D_TRA4_1_SPOT9,D_TRA4_1_SPOT10,D_TRA5_1_SPOT1,D_TRA5_1_SPOT2,D_TRA5_1_SPOT3,D_TRA5_1_SPOT4,D_TRA5_1_SPOT5,D_TRA5_1_SPOT6,D_TRA5_1_SPOT7,D_TRA5_1_SPOT8,D_TRA5_1_SPOT9,D_TRA5_1_SPOT10,D_TRA6_1_SPOT1,D_TRA6_1_SPOT2,D_TRA6_1_SPOT3,D_TRA6_1_SPOT4,D_TRA6_1_SPOT5,D_TRA6_1_SPOT6,D_TRA6_1_SPOT7,D_TRA6_1_SPOT8,D_TRA6_1_SPOT9,D_TRA6_1_SPOT10,D_TRA7_1_SPOT1,D_TRA7_1_SPOT2,D_TRA7_1_SPOT3,D_TRA7_1_SPOT4,D_TRA7_1_SPOT5,D_TRA7_1_SPOT6,D_TRA7_1_SPOT7,D_TRA7_1_SPOT8,D_TRA7_1_SPOT9,D_TRA7_1_SPOT10,D_TRA8_1_SPOT1,D_TRA8_1_SPOT2,D_TRA8_1_SPOT3,D_TRA8_1_SPOT4,D_TRA8_1_SPOT5,D_TRA8_1_SPOT6,D_TRA8_1_SPOT7,D_TRA8_1_SPOT8,D_TRA8_1_SPOT9,D_TRA8_1_SPOT10,D_TRA1_S_Day,D_TRA2_S_Day,D_TRA3_S_Day,D_TRA4_S_Day,D_TRA5_S_Day,D_TRA6_S_Day,D_TRA7_S_Day,D_TRA8_S_Day,target_area,no_of_place,month,sleepnights,accommodation,target_beforesplit,transportation,reason,relationship_beforesplit
0,2019.0,1,5,5,1,11,4.0,250000.0,0.0,12.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,36460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,36460,1,,2,2,"1,2,6","2,4","14,2,9",3
1,2019.0,1,1,1,1,11,4.0,217000.0,0.0,6.0,,,,,,,,,9.0,,,,,,1.0,,,,,,,,21090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,21090,1,,2,9,"1,2,3,6,7,8,9","2,5,3","2,4,10",3
2,2019.0,1,4,4,1,11,4.0,348000.0,1.0,3.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,31370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,31370,1,,2,3,"1,2,3",1,"9,1,4",1
3,2019.0,2,3,3,1,11,4.0,43000.0,0.0,3.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,36360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,36360,1,,2,1,"1,2,6",1,"5,14,8",4
4,2019.0,2,2,2,1,11,4.0,200000.0,0.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,25040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,25040,1,,0,,"2,7",1,12,3
5,2019.0,1,1,1,1,11,4.0,360000.0,0.0,5.0,,,3.0,,,,,,,,,,,,1.0,,,,,,,,32310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32310,1,,1,3,"1,2,3,6",1,"1,9,5","3,4"
6,2019.0,2,5,5,1,11,4.0,300010.0,0.0,3.0,,,,4.0,,,,,,,,,,,1.0,,,,,,,,32060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32060,1,,1,4,"1,2",1,"9,5,11",1
7,2019.0,1,4,4,2,11,4.0,171000.0,0.0,4.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,21060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,21060,1,,1,2,"1,2,7",1,"2,14",1
8,2019.0,2,3,3,2,11,4.0,143000.0,0.0,4.0,,,,,,,,,,,,,13.0,,2.0,,,,,,,,32340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,32340,1,,1,13,"1,3,6",1,"4,5,11",3
9,2019.0,2,2,2,2,11,4.0,502000.0,0.0,3.0,,,,,,,,,9.0,,,,,,2.0,,,,,,,,39010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,39010,1,,2,9,"1,2,3,6,9","6,4,3","8,1,10",3
