,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit
0,2020.0,"23310,23310",2,1,3,2.0,0.0,439000.0,219500.0,4.0,1.0,28.0,1.0,1.0,"1,2,6",1,"9,5,14",3
1,2020.0,31160,1,0,,4.0,0.0,70002.0,23334.0,4.0,1.0,57.0,2.0,1.0,"1,6",1,"2,4,11",3
2,2020.0,31110,1,0,,3.0,0.0,74500.0,26500.0,4.0,2.0,19.0,2.0,1.0,5,"5,2","12,5,9",3
3,2020.0,"23080,31270",2,"0,0",,2.0,0.0,100000.0,50000.0,4.0,2.0,36.0,2.0,1.0,"1,2,6",1,"9,5,1",3
4,2020.0,"32400,32390",2,1,11,4.0,0.0,400000.0,100000.0,4.0,1.0,26.0,2.0,1.0,"1,2,6",1,"12,6,5",3
5,2020.0,"39010,39010,39010,39010",4,2,"4,4",2.0,0.0,794000.0,681500.0,4.0,2.0,27.0,1.0,1.0,"1,2,4,6","3,10","6,1,14",3
6,2020.0,"38360,38360,38360",3,2,"3,3",4.0,0.0,1101000.0,303750.0,5.0,2.0,52.0,1.0,1.0,"1,4,6",1,"2,1,11",1
7,2020.0,31130,1,0,,3.0,0.0,37000.0,37000.0,5.0,1.0,49.0,3.0,1.0,"1,2","5,6,2","11,5,9",3
8,2020.0,31370,1,0,,4.0,0.0,124000.0,86500.0,5.0,1.0,27.0,3.0,1.0,"1,2,6",1,"14,2,4",4
9,2020.0,35330,1,1,3,5.0,0.0,272500.0,160500.0,5.0,2.0,50.0,4.0,1.0,"1,2","5,2,10","14,11,1",3
10,2020.0,31370,1,0,,3.0,0.0,219000.0,73000.0,5.0,1.0,63.0,4.0,1.0,"1,2",1,"3,5,4",1
11,2020.0,"35020,35020,35020",3,2,"10,10",3.0,0.0,544999.0,390333.0,4.0,1.0,27.0,4.0,1.0,"1,2","2,4,10","11,2,8",3
12,2020.0,"34050,34050",2,1,3,3.0,0.0,362998.0,193666.0,4.0,1.0,49.0,4.0,1.0,"1,2,4,6",1,"14,9,11",1
13,2020.0,31370,1,0,,2.0,0.0,91000.0,91000.0,5.0,1.0,63.0,5.0,1.0,"2,5,11",1,"4,9,14",1
14,2020.0,"33380,33380",2,1,3,4.0,0.0,110000.0,110000.0,4.0,2.0,49.0,5.0,1.0,"1,2,6","5,7","3,5,14",3
15,2020.0,31130,1,0,,2.0,0.0,78000.0,60500.0,4.0,1.0,28.0,5.0,1.0,"1,2",1,"14,3,1",3
16,2020.0,"31380,31380",2,1,3,5.0,0.0,325000.0,149000.0,5.0,2.0,63.0,5.0,1.0,"1,2,6",1,"5,3,9",3
17,2020.0,"32030,32030,32030",3,1,4,4.0,0.0,392000.0,380000.0,4.0,1.0,28.0,6.0,1.0,"1,2,4,6,8","6,5,2","1,6,2",3
18,2020.0,"31370,31370",2,0,,7.0,0.0,68000.0,68000.0,4.0,1.0,19.0,6.0,1.0,"1,2","5,2","1,11,4",3
19,2020.0,31270,1,0,,2.0,0.0,79000.0,49000.0,5.0,2.0,34.0,6.0,1.0,"1,2",1,"5,9,11",3
20,2020.0,"37020,37020,37020,37020,37020",5,2,"4,4",2.0,0.0,533000.0,408000.0,4.0,1.0,27.0,6.0,1.0,"1,2,4,6,9","2,10,5","12,4,2",3
21,2020.0,31110,1,0,,4.0,0.0,31000.0,31000.0,4.0,2.0,19.0,6.0,1.0,"1,9","5,2","2,9,3",3
22,2020.0,"32030,32030,32030,32030",4,2,"1,1",4.0,0.0,650000.0,327500.0,5.0,2.0,45.0,7.0,1.0,"1,2,6,8",1,"14,1,2",1
23,2020.0,"34030,34030",2,1,4,4.0,0.0,331000.0,158500.0,4.0,2.0,34.0,7.0,1.0,"1,2,6,9",1,"4,5,6",3
24,2020.0,31240,1,1,10,3.0,0.0,312002.0,150667.0,4.0,1.0,27.0,7.0,1.0,"1,2",8,"5,2,9",3
25,2020.0,"36460,36460,36460",3,2,3,2.0,0.0,515000.0,394500.0,5.0,2.0,29.0,8.0,1.0,"1,2,4,6","2,4","1,2,8",3
26,2020.0,"36360,36360",2,1,4,3.0,0.0,480000.0,240000.0,5.0,2.0,34.0,8.0,1.0,"1,2,6",1,"1,14,11",3
27,2020.0,31370,1,0,,4.0,0.0,134000.0,84000.0,4.0,1.0,29.0,8.0,1.0,"1,2",8,"2,5,1",3
28,2020.0,31200,1,0,,4.0,0.0,60000.0,48750.0,3.0,2.0,28.0,2.0,1.0,"1,2","5,10,2","11,2,8",3
29,2020.0,"31270,31280",2,"0,0",,4.0,0.0,165000.0,41250.0,4.0,2.0,56.0,2.0,1.0,"2,6,7",1,"9,1,4",3
30,2020.0,31260,1,0,,3.0,0.0,110001.0,36667.0,4.0,2.0,63.0,2.0,1.0,"1,2,6",1,"4,1",3
31,2020.0,31370,1,0,,1.0,,70000.0,70000.0,4.0,1.0,38.0,2.0,1.0,1,1,"5,1",
32,2020.0,31110,1,0,,4.0,0.0,150000.0,37500.0,4.0,2.0,36.0,9.0,1.0,"1,2","5,2","2,4,11",3
33,2020.0,"32010,32010",2,1,11,4.0,0.0,360000.0,90000.0,4.0,2.0,27.0,9.0,1.0,"1,2,6",1,"4,1,6",3
34,2020.0,32010,1,0,,2.0,0.0,152000.0,76000.0,4.0,1.0,36.0,10.0,1.0,"1,2,6",1,"2,4,8",3
35,2020.0,"32060,32060",2,1,4,4.0,0.0,628000.0,157000.0,4.0,2.0,35.0,10.0,1.0,"2,3,6",1,"6,2,11",3
36,2020.0,"38390,38390",2,1,10,4.0,2.0,618000.0,154500.0,4.0,2.0,38.0,3.0,1.0,"1,2,6,7",1,"1,2,11",1
37,2020.0,31130,1,0,,2.0,0.0,50000.0,25000.0,4.0,1.0,42.0,3.0,1.0,"2,6",6,"2,4,5",1
38,2020.0,31200,1,0,,3.0,0.0,519999.0,173333.0,4.0,2.0,27.0,11.0,1.0,"2,6",1,"7,11,4",3
39,2020.0,31260,1,0,,2.0,0.0,75000.0,37500.0,4.0,1.0,57.0,11.0,1.0,"1,2",1,"4,11,1",3
40,2020.0,31270,1,0,,2.0,0.0,150000.0,60000.0,4.0,1.0,48.0,11.0,1.0,"1,2,6",1,"11,8,4",3
41,2020.0,31210,1,0,,2.0,0.0,490000.0,245000.0,4.0,2.0,37.0,11.0,1.0,"1,2,8",1,"4,7,8",3
42,2020.0,31210,1,0,,2.0,0.0,267000.0,133500.0,4.0,1.0,37.0,12.0,1.0,"1,6,8",1,"4,8,7",3
43,2020.0,23310,1,0,,2.0,0.0,235000.0,117500.0,4.0,2.0,35.0,12.0,1.0,"1,2,6",1,"1,8,2",3
44,2020.0,"31130,32010",2,"0,1",1,8.0,0.0,175000.0,175000.0,4.0,1.0,36.0,1.0,1.0,"1,6",1,"2,5,1",3
45,2020.0,"32030,32030",2,1,1,5.0,0.0,195000.0,195000.0,4.0,1.0,62.0,1.0,1.0,"2,6",1,"2,1,5",3
46,2020.0,"21090,21010",2,1,1,2.0,0.0,270000.0,270000.0,4.0,2.0,28.0,1.0,1.0,"1,6",1,"8,1,2",1
