,place_info,area,target
0,구절리역(폐역),강원도 정선군,"힐링, 호캉스"
1,만년저수지,전라남도 해남군,"힐링, 호캉스"
2,대암소류지,경상남도 진주시,"힐링, 호캉스"
3,대양소류지,충청북도 보은군,"힐링, 호캉스"
4,대장저수지,전라남도 신안군,"힐링, 호캉스"
5,미천제2소류지,경상남도 창원시,"힐링, 호캉스"
6,진가저수지,경기도 이천시,"힐링, 호캉스"
7,장림저수지,경상북도 상주시,"힐링, 호캉스"
8,미산소류지,전라남도 곡성군,"힐링, 호캉스"
9,대촌못,울산광역시 울주군,"힐링, 호캉스"
10,지리골소류지,경상북도 포항시,"힐링, 호캉스"
11,대해소류지,충청북도 영동군,"힐링, 호캉스"
12,덕곡소류지,경상남도 거창군,"힐링, 호캉스"
13,일정못,전라남도 신안군,"힐링, 호캉스"
14,덕소저수지,경기도 남양주시,"힐링, 호캉스"
15,정수2소류지,경상남도 하동군,"힐링, 호캉스"
16,수전이소류지,강원도 원주시,"힐링, 호캉스"
17,임외소류지,경상남도 통영시,"힐링, 호캉스"
18,전골소류지,경상남도 하동군,"힐링, 호캉스"
19,도들소류지,경상남도 합천군,"힐링, 호캉스"
20,장자골소류지,경상북도 구미시,"힐링, 호캉스"
21,도산소류지,충청남도 아산시,"힐링, 호캉스"
22,도수저수지,경기도 광주시,"힐링, 호캉스"
23,서짓골저수지,경상남도 하동군,"힐링, 호캉스"
24,영천못,울산광역시 울주군,"힐링, 호캉스"
25,쌉싸리소류지,경상남도 사천시,"힐링, 호캉스"
26,설못,경상북도 경산시,"힐링, 호캉스"
27,샛골못,충청남도 금산군,"힐링, 호캉스"
28,가치저수지,전라남도 진도군,"힐링, 호캉스"
29,남촌작은소류지,경상남도 고성군,"힐링, 호캉스"
30,남산소류지,경상남도 산청군,"힐링, 호캉스"
31,큰골못,경상북도 구미시,"힐링, 호캉스"
32,월룡저수지,전라남도 순천시,"힐링, 호캉스"
33,신방소류지,경상북도 경산시,"힐링, 호캉스"
