,userID,sex,age,living_area,living_area_size,occupation,family_size,marry,income_per_year
0,1000101,남성,40,서울특별시,대도시,전문가 및 관련 종사자,4,배우자 있음,4000
1,1000102,여성,40,서울특별시,대도시,가정주부,4,배우자 있음,4000
2,1000201,남성,41,서울특별시,대도시,서비스 종사자,3,미혼,4000
3,1000202,여성,73,서울특별시,대도시,가정주부,3,사별,4000
4,1000203,여성,46,서울특별시,대도시,단순노무자,3,배우자 있음,4000
5,1000301,여성,83,서울특별시,대도시,은퇴/무직,3,사별,2500
6,1000303,여성,28,서울특별시,대도시,은퇴/무직,3,미혼,2500
7,1000401,남성,63,서울특별시,대도시,판매 종사자,2,배우자 있음,3000
8,1000402,여성,61,서울특별시,대도시,가정주부,2,배우자 있음,3000
9,1000601,남성,37,서울특별시,대도시,사무 종사자,3,배우자 있음,8000
10,1000602,여성,38,서울특별시,대도시,가정주부,3,배우자 있음,8000
11,1000701,여성,56,서울특별시,대도시,가정주부,4,배우자 있음,4800
12,1000702,남성,57,서울특별시,대도시,은퇴/무직,4,배우자 있음,4800
13,1000703,남성,27,서울특별시,대도시,대학생,4,미혼,4800
14,1000704,남성,27,서울특별시,대도시,대학생,4,미혼,4800
15,1000801,남성,48,서울특별시,대도시,판매 종사자,1,미혼,1000
16,1000901,남성,39,서울특별시,대도시,사무 종사자,3,배우자 있음,6000
17,1000902,여성,47,서울특별시,대도시,판매 종사자,3,배우자 있음,6000
18,1001001,여성,41,서울특별시,대도시,사무 종사자,2,미혼,2500
19,1001002,여성,75,서울특별시,대도시,은퇴/무직,2,사별,2500
20,1001101,남성,77,서울특별시,대도시,은퇴/무직,2,배우자 있음,1000
21,1001301,여성,83,서울특별시,대도시,은퇴/무직,3,사별,2800
22,1001303,남성,59,서울특별시,대도시,은퇴/무직,3,이혼,2800
23,1001701,남성,68,서울특별시,대도시,은퇴/무직,2,배우자 있음,6000
24,1001702,여성,67,서울특별시,대도시,가정주부,2,배우자 있음,6000
25,1001801,남성,67,경기도,중소도시,판매 종사자,3,배우자 있음,5500
26,1001802,여성,65,경기도,중소도시,가정주부,3,배우자 있음,5500
27,1001803,남성,34,경기도,중소도시,사무 종사자,3,미혼,5500
28,1001901,남성,50,서울특별시,대도시,판매 종사자,4,배우자 있음,6500
29,1001902,여성,47,서울특별시,대도시,가정주부,4,배우자 있음,6500
30,1001903,남성,25,서울특별시,대도시,대학생,4,미혼,6500
31,1001904,여성,23,서울특별시,대도시,대학생,4,미혼,6500
32,1002201,남성,72,서울특별시,대도시,판매 종사자,4,배우자 있음,6000
33,1002202,여성,69,서울특별시,대도시,가정주부,4,배우자 있음,6000
34,1002203,남성,43,서울특별시,대도시,사무 종사자,4,미혼,6000
35,1002204,여성,46,서울특별시,대도시,사무 종사자,4,미혼,6000
36,1002301,남성,82,서울특별시,대도시,은퇴/무직,5,배우자 있음,4800
37,1002302,여성,77,서울특별시,대도시,가정주부,5,배우자 있음,4800
38,1002304,남성,51,서울특별시,대도시,사무 종사자,5,배우자 있음,4800
39,1002305,여성,36,서울특별시,대도시,가정주부,5,배우자 있음,4800
40,1002401,여성,76,서울특별시,대도시,가정주부,1,사별,1800
41,1002601,여성,83,서울특별시,대도시,가정주부,1,이혼,720
42,1002801,남성,82,서울특별시,대도시,은퇴/무직,2,배우자 있음,1200
43,1002802,여성,79,서울특별시,대도시,가정주부,2,배우자 있음,1200
44,1003101,남성,55,서울특별시,대도시,전문가 및 관련 종사자,5,배우자 있음,8400
45,1003102,여성,52,서울특별시,대도시,전문가 및 관련 종사자,5,배우자 있음,8400
46,1003103,여성,28,서울특별시,대도시,전문가 및 관련 종사자,5,미혼,8400
47,1003105,남성,21,서울특별시,대도시,대학생,5,미혼,8400
48,1003106,남성,28,서울특별시,대도시,사무 종사자,5,배우자 있음,8400
49,1003201,남성,77,서울특별시,대도시,단순노무자,4,배우자 있음,4800
50,1003202,여성,74,서울특별시,대도시,가정주부,4,배우자 있음,4800
51,1003203,남성,46,서울특별시,대도시,은퇴/무직,4,미혼,4800
52,1003204,남성,40,서울특별시,대도시,은퇴/무직,4,미혼,4800
53,1003301,남성,61,서울특별시,대도시,사무 종사자,3,배우자 있음,4800
54,1003302,여성,61,서울특별시,대도시,사무 종사자,3,배우자 있음,4800
55,1003303,남성,36,서울특별시,대도시,사무 종사자,3,미혼,4800
56,1003501,남성,35,서울특별시,대도시,사무 종사자,4,배우자 있음,11000
57,1003502,여성,34,서울특별시,대도시,사무 종사자,4,배우자 있음,11000
58,1003601,남성,43,서울특별시,대도시,은퇴/무직,5,배우자 있음,7500
59,1003602,여성,36,서울특별시,대도시,가정주부,5,배우자 있음,7500
60,1003701,남성,44,서울특별시,대도시,사무 종사자,3,배우자 있음,6800
61,1003702,여성,43,서울특별시,대도시,사무 종사자,3,배우자 있음,6800
62,1003901,남성,68,서울특별시,대도시,판매 종사자,2,배우자 있음,3600
63,1003902,여성,66,서울특별시,대도시,가정주부,2,배우자 있음,3600
64,1004001,여성,50,서울특별시,대도시,판매 종사자,2,미혼,6000
65,1004002,남성,46,서울특별시,대도시,사무 종사자,2,미혼,6000
66,1004101,남성,36,경기도,중소도시,사무 종사자,4,배우자 있음,4000
67,1004102,여성,35,경기도,중소도시,사무 종사자,4,배우자 있음,4000
68,1004202,여성,75,서울특별시,대도시,가정주부,2,배우자 있음,2160
69,1004502,여성,49,서울특별시,대도시,서비스 종사자,3,사별,3600
70,1004503,여성,22,서울특별시,대도시,대학생,3,미혼,3600
71,1004504,남성,17,서울특별시,대도시,고등학생,3,미혼,3600
72,1004601,남성,55,서울특별시,대도시,사무 종사자,5,배우자 있음,4800
73,1004602,여성,49,서울특별시,대도시,가정주부,5,배우자 있음,4800
74,1004603,남성,19,서울특별시,대도시,대학생,5,미혼,4800
75,1004604,남성,18,서울특별시,대도시,고등학생,5,미혼,4800
