,year,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,no_of_place,sleepnights_1,sleepnights_2,sleepnights_3,sleepnights_4,sleepnights_5,sleepnights_6,sleepnights_7,sleepnights_8,accommodation_1,accommodation_2,accommodation_3,number_of_ppl,number_of_children,cost_total_trip,satisfied,sex,age,month,living_area,transportation1,transportation2,transportation3,reason1,reason2,reason3,relationship1,relationship2,relationship3,target
0,2018,99999,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,3,1,276000,4,2,38,5,11,1,0,0,14,1,11,1,0,0,"힐링,호캉스"
1,2018,32390,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,3,0,318000,4,2,48,5,11,1,0,0,1,11,9,1,0,0,"힐링,호캉스"
2,2018,31370,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,6,0,107000,4,1,19,6,11,6,0,0,4,14,5,3,0,0,엑티비티
3,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,50000,4,2,55,6,11,2,0,0,1,5,8,3,0,0,"힐링,호캉스"
4,2018,99999,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,5,0,4,0,233000,4,1,29,2,11,1,0,0,13,14,3,1,0,0,"힐링,호캉스"
5,2018,23080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,38000,4,2,29,6,11,5,0,0,11,13,10,3,0,0,"힐링,호캉스"
6,2018,32050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,30000,4,2,51,12,11,7,0,0,3,0,0,5,0,0,"힐링,호캉스"
7,2018,99999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,54000,4,2,48,4,11,1,0,0,12,8,2,1,0,0,"힐링,호캉스"
8,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,45000,3,1,35,4,11,1,0,0,4,14,0,1,0,0,"힐링,호캉스"
9,2018,23050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,47000,4,1,52,4,11,1,0,0,8,2,0,1,0,0,"힐링,호캉스"
